ids,label
29 5 2 76 2004 47 1000 12 101 149 42 317 3249 429 21 229 30 3087 33 25 198 15 11 7 604,1
4 390 119 354 2 1385 3004 7 54 1 54 162 58 2186 1584 3 409 4 1 3 515 1 290 5 1838,1
10 195 11 14 4 390 96 6 1138 58 23 4 99 866 1431 2555 1247 9 2 880 1 779 3 149 4,1
683 40 13 4 234 118 4 119 410 3824 1242 40 13 4 958 9 27 3926 27 786 25 1022 31 2 58,0
1 9486 13 114 9 2 58 5 284 7 4 2077 1458 20 6 106 454 9486 1514 181 4 4444 3211 44 381,1
239 61 31 58 498 16 4 63 5 1 4295 3 9488 6 4 3713 1082 19 8 13 24 5124 41 351 8,1
10 248 59 39 6 66 4 8310 5 4 56 1887 1 208 17 2 4555 33 28 499 8 59 714 146 2,1
11 115 14 35 479 1366 4263 310 9 2 1435 13 53 8 89 3146 2 89 708 41 707 155 71 520 19,0
8311 34 2 1225 774 44 11 20 23 132 10 14 257 931 6 149 11 20 78 1444 10 138 109 1 104,0
46 21 39 213 5031 5125 2272 21 80 39 11 16 46 21 25 187 41 162 95 21 80 114 11 16 572,1
4329 2 1116 7 29 5 148 2529 104 118 2 1202 7 444 188 2 1 5 266 246 73 768 1 32 89,0
10 219 11 16 53 10 14 44 1571 53 8 372 45 10 2187 2 5796 130 14 2 191 3489 1719 332 1,0
37 5032 24 4 191 341 5 3981 13 161 19 95 175 24 108 25 10 516 27 16 1 272 5032 2 64,0
2 179 255 1752 1752 437 10 1129 12 11 7 265 6 714 1752 6 2 4937 19 137 2737 139 37 50 7,0
11 4 831 16 5 287 3850 36 430 849 29 5 2 152 7 751 4938 3 10 140 24 4 341 19 11,1
243 5 1440 9 34 2 2610 135 64 6 916 11 14 29 5 2 88 2369 3 1421 1668 5 20 10 138,0
49 104 42 327 143 24 30 6243 11 7 29 5 94 9 3 5 396 8 7 24 4 78 20 19 8,1
11 16 91 8 85 29 5 61 338 157 88 370 98 514 40 299 22 4 8453 819 118 40 299 22 4,0
10 391 11 20 8 14 2 89 20 10 68 297 32 2 431 2 427 14 448 9 1330 10 14 54 4266,1
