model,activation,optimizer,seq_len,grad_clip,epochs,final_test_loss,accuracy,f1_macro,epoch_time_s(last_train),device,seed
RNN,relu,ADAM,50,off,5,0.480314,0.76792,0.767447,1.571,cpu,1337
LSTM,relu,ADAM,50,off,5,0.490834,0.76404,0.764038,6.2333,cpu,1337
BILSTM,relu,ADAM,50,off,5,0.487694,0.76188,0.761685,12.5371,cpu,1337
LSTM,sigmoid,ADAM,50,off,5,0.508847,0.75428,0.753633,6.4942,cpu,1337
LSTM,relu,ADAM,50,off,5,0.481788,0.7644,0.7638,6.5522,cpu,1337
LSTM,tanh,ADAM,50,off,5,0.484845,0.76512,0.764925,6.3372,cpu,1337
LSTM,relu,ADAM,50,off,5,0.488589,0.75704,0.757032,6.3272,cpu,1337
LSTM,relu,SGD,50,off,5,0.692958,0.49916,0.334303,6.3166,cpu,1337
LSTM,relu,RMSPROP,50,off,5,0.486625,0.75968,0.757985,6.2063,cpu,1337
LSTM,relu,ADAM,25,off,5,0.559067,0.70484,0.704575,3.226,cpu,1337
LSTM,relu,ADAM,50,off,5,0.484411,0.76384,0.763437,6.2057,cpu,1337
LSTM,relu,ADAM,100,off,5,0.39615,0.82272,0.822396,12.4737,cpu,1337
LSTM,relu,ADAM,50,off,5,0.501528,0.7516,0.750061,6.388,cpu,1337
LSTM,relu,ADAM,50,1.0,5,0.4937,0.76196,0.760032,6.5457,cpu,1337
